Benchmark                                   (matching)          (mode)  Mode  Cnt       Score       Error  Units
ArrayForall.default_for                             10             N/A  avgt   10     144.630 ±     3.899  ns/op
ArrayForall.default_for                            990             N/A  avgt   10    2288.602 ±    30.871  ns/op
ArrayForall.default_for                             -1             N/A  avgt   10    2183.632 ±    36.958  ns/op
ArrayForall.default_forall                          10             N/A  avgt   10       9.102 ±     0.057  ns/op
ArrayForall.default_forall                         990             N/A  avgt   10    3986.645 ±    88.777  ns/op
ArrayForall.default_forall                          -1             N/A  avgt   10    2593.381 ±    51.495  ns/op
ArrayForall.default_while_it_return                 10             N/A  avgt   10       6.580 ±     0.090  ns/op
ArrayForall.default_while_it_return                990             N/A  avgt   10     194.407 ±     2.428  ns/op
ArrayForall.default_while_it_return                 -1             N/A  avgt   10     192.740 ±     2.095  ns/op
ArrayForall.macro_while_index_condition             10             N/A  avgt   10       6.421 ±     0.037  ns/op
ArrayForall.macro_while_index_condition            990             N/A  avgt   10     194.045 ±     1.737  ns/op
ArrayForall.macro_while_index_condition             -1             N/A  avgt   10     180.724 ±     2.966  ns/op
ArrayForall.macro_while_index_exception             10             N/A  avgt   10       6.556 ±     0.055  ns/op
ArrayForall.macro_while_index_exception            990             N/A  avgt   10     193.826 ±     2.101  ns/op
ArrayForall.macro_while_index_exception             -1             N/A  avgt   10     177.905 ±     0.382  ns/op
ArrayForall.port_while_index                        10             N/A  avgt   10    5585.133 ±   716.578  ns/op
ArrayForall.port_while_index                       990             N/A  avgt   10    6033.951 ±   102.939  ns/op
ArrayForall.port_while_index                        -1             N/A  avgt   10    5973.717 ±   149.184  ns/op
ArrayForallMod.default_for                          57             N/A  avgt   10     159.308 ±     3.220  ns/op
ArrayForallMod.default_for                        1977             N/A  avgt   10    2408.971 ±   161.318  ns/op
ArrayForallMod.default_for                        1000             N/A  avgt   10    1263.242 ±    34.595  ns/op
ArrayForallMod.default_forall                       57             N/A  avgt   10      53.574 ±     0.578  ns/op
